"ENTITY_CD","ENTITY_NAME","YEAR","PK12 Enrollment","SWD Enrollment","Special Education Expenditures","Special Education Expenditures/Pupil","Total Expenditures","General Education Expenditures","General Education Expenditures/Pupil"
"030200010000","BINGHAMTON CITY SCHOOL DISTRICT","2023-24",4687,851,17493373.89,20556.256039953,133018210.68,115524836.79,24647.9276274803
"030200010000","BINGHAMTON CITY SD","2024-25",4523,860,17980525.89,20907.588244186,134886478.12,116905952.23,25846.9936391775
"030201080000","SOUTH MOUNTAIN-HICKORY COMN SD AT BI","2019-20",0,0,0,,3609,3609,
"030201080000","SOUTH MOUNTAIN-HICKORY COMN SD AT BI","2020-21",0,0,0,,1,1,
"030201080000","SOUTH MOUNTAIN-HICKORY COMN SD AT BI","2024-25",0,0,0,,328261,328261,
"030501040000","HARPURSVILLE CENTRAL SCHOOL DISTRICT","2018-19",711,118,1585661,13437.8050847458,13838069,12252408,17232.641350211
"030501040000","HARPURSVILLE CENTRAL SCHOOL DISTRICT","2019-20",676,112,1575185,14064.1517857143,14334661.4,12759476.4,18874.9650887574
"030501040000","HARPURSVILLE CENTRAL SCHOOL DISTRICT","2020-21",629,103,2149082,20864.8737864078,14595360.85,12446278.85,19787.4067567568
"030501040000","HARPURSVILLE CENTRAL SCHOOL DISTRICT","2021-22",623,106,1623024,15311.5471698113,15457483,13834459,22206.1942215088
"030501040000","HARPURSVILLE CSD","2022-23",595,92,1708830,18574.2391304348,15988905.28,14280075.28,24000.1265210084
"030501040000","HARPURSVILLE CENTRAL SCHOOL DISTRICT","2023-24",571,85,1965969.6,23129.0541176471,18077890.65,16111921.05,28217.0246059545
"030501040000","HARPURSVILLE CSD","2024-25",576,102,2136289.18,20944.0115686275,18097307.66,15961018.48,27710.1015277778
"030601060000","SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT","2018-19",1414,169,2700923,15981.7928994083,30680354,27979431,19787.4335219236
"030601060000","SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT","2019-20",1464,189,2781778,14718.4021164021,30688541.74,27906763.74,19061.9970901639
"030601060000","SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT","2020-21",1361,152,2967383,19522.2565789474,30537426.7,27570043.7,20257.1959588538
