"ENTITY_CD","ENTITY_NAME","YEAR","PK12_Enrollment","SWD_Enrollment","Special_Education_Expenditures","Special_Education_Expenditures_PerSWD","Total_Expenditures","General_Education_Expenditures","General_Education_Expenditures_PerPupil","Special_Education_Expenditures_PerPupil"
"030501040000","HARPURSVILLE CSD",2022,623,106,1623024,15311.5471698113,15457483,13834459,22206.1942215088,2605.17495987159
"030501040000","HARPURSVILLE CSD",2023,595,92,1708830,18574.2391304348,15988905.28,14280075.28,24000.1265210084,2871.98319327731
"030501040000","HARPURSVILLE CSD",2024,571,85,1965969.6,23129.0541176471,18077890.65,16111921.05,28217.0246059545,3443.02907180385
"030501040000","HARPURSVILLE CSD",2025,576,102,2136289.18,20944.0115686275,18097307.66,15961018.48,27710.1015277778,3708.83538194444
"030601060000","SUSQUEHANNA VALLEY CSD",2019,1414,169,2700923,15981.7928994083,30680354,27979431,19787.4335219236,1910.12942008487
"030601060000","SUSQUEHANNA VALLEY CSD",2020,1464,189,2781778,14718.4021164021,30688541.74,27906763.74,19061.9970901639,1900.12158469945
"030601060000","SUSQUEHANNA VALLEY CSD",2021,1361,152,2967383,19522.2565789474,30537426.7,27570043.7,20257.1959588538,2180.29610580456
"030601060000","SUSQUEHANNA VALLEY CSD",2022,1387,143,3034713,21221.7692307692,32741555,29706842,21418.0547945205,2187.96899783706
"030601060000","SUSQUEHANNA VALLEY CSD",2023,1423,164,3165889,19304.2012195122,34551300.9,31385411.9,22055.8059732959,2224.79901616304
"030601060000","SUSQUEHANNA VALLEY CSD",2024,1441,174,3395196.25,19512.6221264368,37082509.8,33687313.55,23377.7332061069,2356.13896599584
"030601060000","SUSQUEHANNA VALLEY CSD",2025,1442,184,3597367.03,19550.9077717391,38298894.18,34701527.15,24064.8593273232,2494.70667822469
"030701060000","CHENANGO VALLEY CSD",2019,1765,257,3453177,13436.486381323,30656890,27203713,15412.8685552408,1956.47422096317
"030701060000","CHENANGO VALLEY CSD",2020,1720,261,3420213,13104.2643678161,31135137.14,27714924.14,16113.3279883721,1988.49593023256
"030701060000","CHENANGO VALLEY CSD",2021,1614,251,3103107,12362.9760956175,30426441.03,27323334.03,16928.9554089219,1922.61895910781
"030701060000","CHENANGO VALLEY CSD",2022,1650,249,3208680,12886.265060241,32099006,28890326,17509.2884848485,1944.65454545455
"030701060000","CHENANGO VALLEY CSD",2023,1654,230,3769637,16389.7260869565,34014776.19,30245139.19,18286.0575513906,2279.10338573156
"030701060000","CHENANGO VALLEY CSD",2024,1658,239,3604106.85,15079.9449790795,38010495.66,34406388.81,20751.7423462002,2173.76770205066
"030701060000","CHENANGO VALLEY CSD",2025,1653,235,4068523.93,17312.867787234,42242308.72,38173784.79,23093.6387114338,2461.29699334543
"031101060000","MAINE-ENDWELL CSD",2019,2507,354,5060729,14295.8446327684,39284380,34223651,13651.2369365776,2018.63940965297
