"","YEAR","ENTITY_CD","ENTITY_NAME","ASSESSMENT_NAME","SUBGROUP_NAME","TOTAL_COUNT","NOT_TESTED","PCT_NOT_TESTED","NUM_TESTED","PER_PROF","SEASON","COUNTY_DESC","ENTITY_TYPE","Prof_Count","NotProf_Count","Prof_Pct","NotProf_Pct","NotTested_Pct"
"117",2023,"000004000000","ALL Cattaraugus Districts","ELA3","Not Economically Disadvantaged",359,10,3,349,"46","Spring","CATTARAUGUS","COUNTY",160,189,44.5682451253482,52.6462395543176,2.78551532033426
"118",2023,"000004000000","ALL Cattaraugus Districts","ELA5","Not Economically Disadvantaged",337,38,11,299,"51","Spring","CATTARAUGUS","COUNTY",152,147,45.1038575667656,43.620178041543,11.2759643916914
"119",2023,"000004000000","ALL Cattaraugus Districts","ELA7","Students with Disabilities",176,51,29,125,"14","Spring","CATTARAUGUS","COUNTY",18,107,10.2272727272727,60.7954545454545,28.9772727272727
"120",2023,"000004000000","ALL Cattaraugus Districts","ELA8","Students with Disabilities",161,54,34,107,"11","Spring","CATTARAUGUS","COUNTY",12,95,7.45341614906832,59.0062111801242,33.5403726708075
"121",2023,"000004000000","ALL Cattaraugus Districts","ELA4","Students with Disabilities",191,30,16,161,NA,"Spring","CATTARAUGUS","COUNTY",15,146,7.85340314136126,76.4397905759162,15.7068062827225
"122",2023,"000004000000","ALL Cattaraugus Districts","ELA6","Students with Disabilities",187,50,27,137,"6","Spring","CATTARAUGUS","COUNTY",8,129,4.27807486631016,68.9839572192513,26.7379679144385
"123",2023,"000004000000","ALL Cattaraugus Districts","ELA3","Students with Disabilities",198,20,10,178,"7","Spring","CATTARAUGUS","COUNTY",13,165,6.56565656565657,83.3333333333333,10.1010101010101
"124",2023,"000004000000","ALL Cattaraugus Districts","ELA5","Students with Disabilities",171,32,19,139,"6","Spring","CATTARAUGUS","COUNTY",9,130,5.26315789473684,76.0233918128655,18.7134502923977
"125",2023,"000005000000","ALL Cayuga Districts","ELA7","All Students",691,70,10,621,"37","Spring","CAYUGA","COUNTY",227,394,32.8509406657019,57.0188133140376,10.1302460202605
"126",2023,"000005000000","ALL Cayuga Districts","ELA8","All Students",660,122,18,538,"46","Spring","CAYUGA","COUNTY",246,292,37.2727272727273,44.2424242424242,18.4848484848485
"127",2023,"000005000000","ALL Cayuga Districts","ELA4","All Students",620,33,5,587,"32","Spring","CAYUGA","COUNTY",188,399,30.3225806451613,64.3548387096774,5.32258064516129
"128",2023,"000005000000","ALL Cayuga Districts","ELA6","All Students",657,44,7,613,"36","Spring","CAYUGA","COUNTY",222,391,33.7899543378995,59.5129375951294,6.69710806697108
"129",2023,"000005000000","ALL Cayuga Districts","ELA3_8","All Students",3870,334,9,3536,"35","Spring","CAYUGA","COUNTY",1234,2302,31.8863049095607,59.4832041343669,8.63049095607235
"130",2023,"000005000000","ALL Cayuga Districts","ELA3","All Students",601,23,4,578,"29","Spring","CAYUGA","COUNTY",169,409,28.1198003327787,68.0532445923461,3.82695507487521
"131",2023,"000005000000","ALL Cayuga Districts","ELA5","All Students",641,42,7,599,"30","Spring","CAYUGA","COUNTY",182,417,28.393135725429,65.0546021840874,6.55226209048362
"132",2023,"000005000000","ALL Cayuga Districts","ELA7","Economically Disadvantaged",526,58,11,468,"31","Spring","CAYUGA","COUNTY",146,322,27.7566539923954,61.2167300380228,11.0266159695817
"133",2023,"000005000000","ALL Cayuga Districts","ELA8","Economically Disadvantaged",401,91,23,310,"33","Spring","CAYUGA","COUNTY",101,209,25.1870324189526,52.1197007481297,22.6932668329177
"134",2023,"000005000000","ALL Cayuga Districts","ELA4","Economically Disadvantaged",366,25,7,341,"23","Spring","CAYUGA","COUNTY",77,264,21.0382513661202,72.1311475409836,6.83060109289618
"135",2023,"000005000000","ALL Cayuga Districts","ELA6","Economically Disadvantaged",396,33,8,363,"26","Spring","CAYUGA","COUNTY",95,268,23.989898989899,67.6767676767677,8.33333333333333
"136",2023,"000005000000","ALL Cayuga Districts","ELA3","Economically Disadvantaged",350,13,4,337,"23","Spring","CAYUGA","COUNTY",78,259,22.2857142857143,74,3.71428571428571
"137",2023,"000005000000","ALL Cayuga Districts","ELA5","Economically Disadvantaged",383,26,7,357,"21","Spring","CAYUGA","COUNTY",75,282,19.5822454308094,73.6292428198433,6.78851174934726
"138",2023,"000005000000","ALL Cayuga Districts","ELA7","General Education Students",597,54,9,543,"41","Spring","CAYUGA","COUNTY",222,321,37.1859296482412,53.7688442211055,9.04522613065327
"139",2023,"000005000000","ALL Cayuga Districts","ELA8","General Education Students",550,80,15,470,"51","Spring","CAYUGA","COUNTY",238,232,43.2727272727273,42.1818181818182,14.5454545454545
"140",2023,"000005000000","ALL Cayuga Districts","ELA4","General Education Students",493,18,4,475,"38","Spring","CAYUGA","COUNTY",179,296,36.3083164300203,60.0405679513185,3.65111561866126
"141",2023,"000005000000","ALL Cayuga Districts","ELA6","General Education Students",528,15,3,513,"43","Spring","CAYUGA","COUNTY",220,293,41.6666666666667,55.4924242424242,2.84090909090909
